Year,Month,Tile,Id,Gender
2013,December,Çiljeta,41228670,female
2013,December,Türker Armaner,7474511,male
2013,December,Ju-Chin Chu,41508625,male
2013,December,Taylor Gray,49709270,male
2013,December,Susan Pollexfen,10950782,female
2013,December,Herbert Hamrol,21418898,male
2013,December,Nigel Morris,7819938,male
2013,December,William Henry Skinner,40367200,male
2013,December,Carl Freer,5654835,male
2013,December,Doe B,40263821,male
2013,December,Ville Varakas,30276025,male
2013,December,Rufus Turner,16171518,male
2013,December,Jamie Fenton,9138514,female
2013,December,James D. Marks,37112142,male
2013,December,Sakura Saunders,37013776,female
2013,December,Keith Linnecor,41576811,male
2013,December,Yusaku Maezawa,34521969,male
2013,December,Walter John Raymond,15997769,male
2013,December,Anisha Ambrose,40276446,female
2013,December,Rose Cliver,22424802,female
2013,December,María Soledad Ortega de Argüello,13841441,female
2013,December,Shlomi Constantini,37359429,male
2013,December,John R. Gordon,14987622,male
2013,December,Jennifer Wong,38773259,female
2013,December,Diphan,41238434,male
2013,December,Sleep (rapper),36958109,male
2013,December,Mitchell S. Steir,38983036,male
2013,December,Marcus Pettersson,41479192,male
2013,December,Henrik Marklund,41479522,male
2013,December,Conor Allen,40654853,male
2013,December,Anton Öhman,41479031,male
2013,December,Pontus Petterström,30253561,male
2013,December,Patrik Enberg,41479553,male
2013,December,Niclas Lundgren,41483298,male
2013,December,Niclas Burström,30254543,male
2013,December,Kristofer Berglund,19632504,male
2013,December,Eddie Larsson,30254289,male
2013,December,Ryan Gunderson,14962317,male
2013,December,Michael L. Brown,41424556,male
2013,December,Camille Abate,3833508,male
2013,December,Rajan Raje,38168255,male
2013,December,Young Chozen,41482081,male
2013,December,Susan Gilbert,41949096,female
2013,December,Jannelle So,10615870,female
2013,December,Daire O'Brien,37085666,male
2013,December,Khem Veasna,41581381,male
2013,December,Genevieve Springston Lynch,11987946,female
2013,December,Michael Birkin,41473930,male
2013,December,Myron Goldfinger,40167593,male
2013,December,Mike Morgan (broadcaster),37244191,male
2013,December,Steve Vaught,41544035,male
2013,December,Li Yang (sport shooter),18751882,male
2013,December,Ștefan Hrușcă,40390247,male
2013,December,Raymond Dean,16541979,male
2013,December,Martin Parlagi,41440302,male
2013,December,Ragnhild Lorentzen,847917,female
2013,December,Alexander Lloyd (venture capitalist),43335933,male
2013,December,Joe Wilkinson (footballer),25466688,male
2013,December,Kiwi Gardner,41454349,male
2013,December,Jeff Nicholson,47867355,male
2013,December,Nitipong Selanon,41238689,male
2013,December,Shakeel Ahmad Bhat,17032908,male
2013,December,David Raya,46313438,male
2013,December,Ali Nasr,40528807,male
2013,December,Machine Translations,1659218,male
2013,December,Lois Griffin (politician),5518529,female
2013,December,Martin MacNeill,41162714,male
2013,December,Bo Sullivan,41245739,male
2013,December,James McGibney,38854105,male
2013,December,Flula Borg,44938611,male
2013,December,Ellie Downie,43413766,female
2013,December,Francis Barber Ogden,30827892,male
2013,December,Mixed Feelings (album),9130068,female
2013,December,Verb T,39685872,male
2013,December,Michael Farmer,43539744,male
2013,December,Yog Japee,42480434,male
2013,December,Diane Sabin,13081727,female
2013,December,Leslie Cornfeld,41558974,female
2013,December,Rajeev Rastogi,41414233,male
2013,December,Bonnie Latham,19913282,female
2013,December,Siyani Chambers,39529632,male
2013,December,Rosalina Lydster,36863154,female
2013,December,Robert B. Tresville,40775828,male
2013,December,Nick Seddon,41363642,male
2013,December,Amirah Kassem,41102774,female
2013,December,List of awards and nominations received by Rupert Friend,2000562,male
2013,December,Eleonora Vera Sipos,34384344,female
2013,December,Gibson Byrd,41421952,male
2013,December,Maura O'Halloran,18603687,female
2013,December,Lalaith,537424,female
2013,December,Trevor Clark,50726884,male
2013,December,Chris Cobb,5866080,male
2013,December,Morgan Garrett,39244195,female
2013,December,Richard Pochinko,5114523,male
2013,December,Don K. Preston,48905127,male
2013,December,John Lane Gardner,40765865,male
2013,December,Sharon Presley,6133358,female
2013,December,Brad Karp,41428317,male
2013,December,Ryu Seung-Woo,41742355,male
2013,December,Michel Chrétien,21906279,male
2013,December,Christopher Jaroniec,41413822,male
2013,December,Eleni Papadopulos-Eleopulos,41423978,female
2013,December,Michael Schmidt (designer),37663868,male
2013,December,Death of Abigail Taylor,16525797,female
2013,December,Our Fragile Intellect,37482480,male
2013,December,Allen Wastler,41545170,male
2013,December,Antonio Cabral de Melo,44394197,male
2013,December,Mark Thornton,1660171,male
2013,December,Jessica Grose,41396887,female
2013,December,Boaz Huss,37483444,male
2013,December,Gheorghe Caranda,41262037,male
2013,December,Richard Thieme,1640117,male
2013,December,Carol Kicinski,41131803,female
2013,December,Jeff Sutherland,6041730,male
2013,December,Munjed Al Muderis,46338719,male
2013,December,Anthony Moffat,32373441,male
2013,December,Alex G,47288767,male
2013,December,Sheldon Wong,41078062,male
2013,December,Keith Mann,2112189,male
2013,December,Jesse Rodriguez (swimmer),42500682,male
2013,December,Jessa Rhodes,45075725,female
2013,December,Other People Podcast,6340059,male
2013,December,Michelle zink,41376646,female
2013,December,Benedict Wachira,41247421,male
2013,December,Anne Lindbergh,2507514,female
2013,December,Abby Martin,37915159,female
2013,December,Amanda Brooks,22198397,female
2013,December,A Pocketful Of Sunshine,41167920,male
2013,December,Mozart Was a Red,20217,male
2013,December,Rostyslav Dotsenko,41366481,male
2013,December,Ethan Couch,41373899,male
2013,December,Eri Miyajima,41181733,female
2013,December,Bruce G. Blair,27109005,male
2013,December,Agha Iqrar Haroon,45354462,male
2013,December,Carlos Hernández Vázquez,31486472,male
2013,December,Vanessa Cantave,36791019,female
2013,December,When Hikuru was on the Earth,37946946,female
2013,December,Alex Flinn,8452166,female
2013,December,David Bedein,28488286,male
2013,December,Laura Hewitson,28820191,female
2013,December,Cox & Forkum,3649060,male
2013,December,Michael Stevens (Internet personality),47953603,male
2013,December,Vilsoni Hereniko,17567899,male
2013,December,Preechaya Pongthananikorn,50421072,female
2013,December,Lisa Koonce,25081169,female
2013,December,Amon (The Legend of Korra),36260652,male
2013,December,Jean-François Boyvin de Bonnetot,41284621,male
2013,December,Caroline Scheufele,36859208,female
2013,December,Roman Putin,42135737,male
2013,December,Margaret Nowell Graham,26755440,female
2013,December,Rick Lord,45599466,male
2013,December,Asif Ali Malik,32223807,male
2013,December,Clifford Aboagye,44986557,male
2013,December,David D.A. Doman,45631552,male
2013,December,Jonathan Joestar,6254166,male
2013,December,Josuke Higashikata,6690119,male
2013,December,Henry J. Hendrix,41201182,male
2013,December,Teresa McGovern,11663836,female
2013,December,Cristina Patwa,37430280,female
2013,December,Ronald Hunter,41325402,male
2013,December,Russell Jones (orientalist),40971989,male
2013,December,Bappi Lahiri,4125379,male
2013,December,James Dubro,20931565,male
2013,December,Miku Matsumoto,41644591,female
2013,December,Cat Zingano,37210758,female
2013,December,Swami_Nithyananda,26788390,male
2013,December,Patrick Carr,5168086,male
2013,December,Corine Christensen,10417379,female
2013,December,Diana Falzone,48061001,female
2013,December,Grady Hall,41323507,male
2013,December,Kurt Caselli,41261325,male
2013,December,Ignazio Ciufolini,39868218,male
2013,December,Adrienna Jenkins,47788186,female
2013,December,Kelly Dulfer,41315391,female
2013,December,Scott Johnston,50243196,male
2013,December,Penn Kimball,41045292,male
2013,December,Alexandru Popp,41062739,male
2013,December,Monica Larner,40480477,female
2013,December,Kyle Davis (actor),36530354,male
2013,December,Benjamin T. Orifici,41144485,male
2013,December,Anisha Ambrose,40276446,female
2013,December,Turiya Hanover,26483987,female
2013,December,Florin Curta,26827082,male
2013,December,Jennifer Cella,8563866,female
2013,December,Alain Sylvestre,18514872,male
2013,December,Sean Wright,19464429,male
2013,December,Cheryl Youakim,47882911,female
2013,December,Bailey Pickett,18943287,female
2013,December,Jaime Augusto Zobel,4343587,male
2013,December,John Michael Greer,45167061,male
2013,December,Victoria Garchitorena,41274170,female
2013,December,John Diamond (doctor),23512891,male
